,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,11.8906,11.567153999999995,2.7082000000000006,0.05174591771338122,1.7178981744224526,0.12609028511348522
scale,11.882000000000003,11.502491999999993,2.6976000000000004,0.06621178142898752,1.6780163736793494,0.1196922720980766
center,11.878599999999999,11.456209999999999,2.6922,0.04951807750710849,1.6676430775498703,0.11465234406674811
norm,11.778799999999999,10.424016,2.6044,0.04306460263371761,1.7442517652403293,0.16655521606962653
scale_p,15.017799999999998,43.497758000000005,6.7894,0.48427797802501815,1.1420543854107832,0.3404374244997162
center_p,10.970999999999998,37.02733799999999,5.108599999999998,0.17782294565100418,1.8533309057898975,0.16342594653236675
norm_p,11.056400000000002,11.445647999999997,1.6139999999999999,0.42044148225407074,3.137182140216917,0.5518006886548802
