n_boot,decompose,setting,target,10,20,30,40,120
10,False,1_raw,2_mean,,,,,12.4
10,False,1_raw,3_std,,,,,6.945502141674135
10,False,1_raw,4_mae,,,,,6.0
10,False,2_min-max,2_mean,12.5,12.4,14.8,13.4,15.9
10,False,2_min-max,3_std,8.077747210701755,6.359245238233858,6.289674077406556,6.019966777316965,4.968903299521938
10,False,2_min-max,4_mae,7.5,6.0,6.8,5.6,6.5
10,False,3_z-score,2_mean,15.9,16.9,12.1,10.5,13.8
10,False,3_z-score,3_std,5.374941860150675,6.9346953790343235,5.821511831131154,8.393449827097319,8.908422980528035
10,False,3_z-score,4_mae,6.7,9.3,5.1,7.9,9.0
10,False,4_nonlinear,2_mean,15.7,14.9,7.2,12.8,16.3
10,False,4_nonlinear,3_std,5.967411499134277,6.89129886160802,5.4,7.025667228100119,6.4195015382816125
10,False,4_nonlinear,4_mae,7.1,7.3,5.2,6.0,7.7
10,True,1_raw,2_mean,,,,,9.4
10,True,1_raw,3_std,,,,,3.2310988842807027
10,True,1_raw,4_mae,,,,,2.2
10,True,2_min-max,2_mean,13.8,11.9,8.9,10.9,19.8
10,True,2_min-max,3_std,3.4583232931581165,2.1656407827707715,1.8681541692269403,1.6401219466856725,2.315167380558045
10,True,2_min-max,4_mae,4.6,2.1,1.5,1.5,9.8
10,True,3_z-score,2_mean,8.8,10.8,11.1,10.5,19.6
10,True,3_z-score,3_std,2.181742422927143,2.08806130178211,2.4269322199023193,0.806225774829855,4.1521078984053394
10,True,3_z-score,4_mae,1.4,1.6,1.9,0.5,9.8
10,True,4_nonlinear,2_mean,11.5,10.2,11.5,11.8,12.0
10,True,4_nonlinear,3_std,3.2326459750489227,1.5362291495737217,1.5,1.4000000000000001,7.443117626371358
10,True,4_nonlinear,4_mae,1.7,1.0,1.7,1.8,6.2
100,False,1_raw,2_mean,,,,,11.39
100,False,1_raw,3_std,,,,,6.855501440449123
100,False,1_raw,4_mae,,,,,5.85
100,False,2_min-max,2_mean,12.06,12.01,13.33,12.49,15.72
100,False,2_min-max,3_std,7.70171409492718,7.209015189330648,6.844055815085087,7.393909655926288,5.975081589401102
100,False,2_min-max,4_mae,7.1,6.63,6.57,6.93,7.16
100,False,3_z-score,2_mean,14.23,13.77,12.88,13.59,14.8
100,False,3_z-score,3_std,7.015490004269124,6.748118256225212,6.618579908107177,7.419022846709667,6.6828137786414485
100,False,3_z-score,4_mae,7.17,6.61,6.1,7.11,7.18
100,False,4_nonlinear,2_mean,14.43,12.1,12.61,13.43,14.52
100,False,4_nonlinear,3_std,6.6831953435463785,7.000714249274855,6.943911001733822,6.568492977845071,6.4783948629270816
100,False,4_nonlinear,4_mae,6.97,6.08,6.13,6.17,6.84
100,True,1_raw,2_mean,,,,,9.08
100,True,1_raw,3_std,,,,,2.9822139426942527
100,True,1_raw,4_mae,,,,,2.16
100,True,2_min-max,2_mean,14.01,10.68,8.63,10.02,17.31
100,True,2_min-max,3_std,4.738132543523872,2.894408402420087,2.3479991482110893,3.2710243044037446,4.706792963366883
100,True,2_min-max,4_mae,4.99,1.98,1.87,2.16,7.71
100,True,3_z-score,2_mean,9.81,10.21,10.33,12.58,17.04
100,True,3_z-score,3_std,3.233249139797303,3.35647136141514,3.8315923582761253,4.619913419102137,5.713002713109805
100,True,3_z-score,4_mae,1.63,2.17,2.51,2.98,7.96
100,True,4_nonlinear,2_mean,10.94,10.35,10.9,11.06,12.93
100,True,4_nonlinear,3_std,3.17748328083721,1.329473580030833,1.3674794331177342,2.2619460647858074,6.937225670251761
100,True,4_nonlinear,4_mae,1.58,0.87,1.1,1.8,6.01
1000,False,1_raw,2_mean,,,,,11.234
1000,False,1_raw,3_std,,,,,7.032584446702364
1000,False,1_raw,4_mae,,,,,6.132
1000,False,2_min-max,2_mean,12.928,12.638,13.144,12.714,14.89
1000,False,2_min-max,3_std,7.213932076198112,7.485917178275486,7.27030013135634,7.388112343488017,6.716390399611981
1000,False,2_min-max,4_mae,6.732,6.938,6.92,6.82,7.198
1000,False,3_z-score,2_mean,13.064,13.511,12.974,13.287,14.836
1000,False,3_z-score,3_std,6.976095182836885,6.970213698302227,6.995807601699749,7.149869299504712,6.7346198110955005
1000,False,3_z-score,4_mae,6.488,6.665,6.518,6.745,7.228
1000,False,4_nonlinear,2_mean,13.292,12.861,12.277,13.172,14.267
1000,False,4_nonlinear,3_std,7.119180851755348,7.237242499737038,7.134442585093806,7.0708143802535215,6.887358782581317
1000,False,4_nonlinear,4_mae,6.768,6.663,6.355,6.628,7.025
1000,True,1_raw,2_mean,,,,,9.543
1000,True,1_raw,3_std,,,,,3.9382929042924166
1000,True,1_raw,4_mae,,,,,2.449
1000,True,2_min-max,2_mean,14.119,10.571,8.875,10.283,16.966
1000,True,2_min-max,3_std,4.240853569742771,2.8065920615579314,2.513438879304607,3.53396533655892,4.93506271490039
1000,True,2_min-max,4_mae,4.751,1.875,1.945,2.261,7.378
1000,True,3_z-score,2_mean,10.093,10.275,10.629,11.974,16.831
1000,True,3_z-score,3_std,2.8737346780800763,3.581532493221302,3.9004306172524084,4.194439652683061,5.90274842763945
1000,True,3_z-score,4_mae,1.577,2.263,2.549,2.75,7.961
1000,True,4_nonlinear,2_mean,10.781,10.297,10.78,10.993,13.379
1000,True,4_nonlinear,3_std,2.9804427523440205,1.3456563454314776,1.4878171930717834,2.0422906257435542,6.718136571996732
1000,True,4_nonlinear,4_mae,1.527,0.937,1.252,1.717,6.043
